id,comment,position,stakeholder,channel
1,子どもたちの将来を考えると再生可能エネルギーの導入自体は賛成です。ただ、通学路や住宅地に近い場所では騒音や安全面を丁寧に確認してほしいです。,条件付き賛成,子育て中の保護者,Webフォーム
2,景観が大きく変わる計画には少し不安があります。地域の山並みや田園風景は子どもに残したい財産なので、設置場所や高さの基準を明確にしてください。,慎重,子育て中の保護者,Webフォーム
3,災害時に地域で使える電源になるなら前向きに考えたいです。停電時に避難所や学校へ電力を供給できる仕組みまで計画に入れてほしいです。,条件付き賛成,子育て中の保護者,説明会
4,再エネ施設が増えることで地域経済に利益があるなら歓迎します。ただし、雇用や税収などの効果が住民に見える形で説明されることが必要だと思います。,条件付き賛成,子育て中の保護者,紙提出
5,子育て世帯としては、施設の安全管理が一番気になります。大雨や台風、土砂災害の際に事故が起きないよう、事前のリスク評価を公開してください。,慎重,子育て中の保護者,Webフォーム
6,地球温暖化対策として再生可能エネルギーは必要だと思います。一方で、自然を削ってまで進める計画には疑問があり、環境調査を厳しくしてほしいです。,条件付き賛成,子育て中の保護者,Webフォーム
7,事業者の説明会が平日夜だけだと参加できない家庭も多いです。休日開催やオンライン配信、資料のわかりやすい公開など、意見を出しやすい工夫をお願いします。,手続き懸念,子育て中の保護者,Webフォーム
8,条件付きで賛成です。地域住民への事前説明、景観への配慮、防災対策、撤去費用の確保が確認できるなら、子どもの未来のためにも進めてよいと思います。,条件付き賛成,子育て中の保護者,説明会
9,施設ができた後の管理体制が曖昧だと不安です。草木の管理、設備点検、苦情対応の窓口などを決め、長期的に責任を持つ仕組みを示してください。,慎重,子育て中の保護者,紙提出
10,学校や公共施設の屋根を活用するような再エネ導入には賛成です。新しく自然を壊す前に、既存の建物や遊休地を優先して使う方針にしてほしいです。,賛成,子育て中の保護者,Webフォーム
11,地域の合意がないまま大規模施設を進めることには慎重であるべきです。子どもたちが暮らし続ける町なので、住民の不安を軽く扱わないでください。,慎重,子育て中の保護者,説明会
12,再生可能エネルギーを地域の学びにつなげられると良いと思います。発電量や環境効果を学校でも知れるようにし、子どもが考える機会を作ってください。,賛成,子育て中の保護者,Webフォーム
13,商店街で観光客を迎える立場として、再生可能エネルギーの推進自体には賛成です。ただし山並みや海辺の景観を損なわない配置計画を丁寧に示してほしいです。,条件付き賛成,地元商店主・観光業関係者,Webフォーム
14,災害時に地域で電力を確保できる仕組みは重要だと思います。施設整備とあわせて避難所や商店への非常用電源供給など、地元に見える利点を明確にしてください。,賛成,地元商店主・観光業関係者,説明会
15,観光地としての魅力は景色と暮らしの雰囲気に支えられています。発電施設が必要でも、主要道路や展望場所からの見え方を事前に確認し、住民に説明してほしいです。,慎重,地元商店主・観光業関係者,紙提出
16,地元経済に資する事業であれば前向きに受け止めます。工事や維持管理で地域業者を活用し、雇用や仕入れが町内に循環する仕組みを条件にしていただきたいです。,条件付き賛成,地元商店主・観光業関係者,Webフォーム
17,再エネ導入は時代の流れとして理解できますが、土砂災害や水害の危険がある場所への設置には慎重であるべきです。安全性の根拠を公開してください。,慎重,地元商店主・観光業関係者,Webフォーム
18,観光業では「この町らしい景観」が大切な商品です。施設の規模や色、フェンス、管理道路まで含め、周辺環境になじむ設計を求めます。,慎重,地元商店主・観光業関係者,説明会
19,電気代や燃料費の高騰で商売も厳しく、地域で電力を生み出す考えには期待しています。住民や事業者が参加できる地域還元型の制度を検討してください。,賛成,地元商店主・観光業関係者,Webフォーム
20,事業者の説明会が一度だけでは、商店主や観光関係者の不安は解消されません。計画変更時も含め、継続的に説明し意見を反映する場を設けてください。,手続き懸念,地元商店主・観光業関係者,説明会
21,自然環境を守りながら再エネを進めるなら賛成です。鳥類、森林、水源への影響調査を形だけで終わらせず、結果と対策を分かりやすく公表してください。,条件付き賛成,地元商店主・観光業関係者,紙提出
22,施設ができた後の管理責任が曖昧だと、景観悪化や災害時の危険につながります。撤去費用、老朽化対策、連絡窓口を事前に明確にしてほしいです。,慎重,地元商店主・観光業関係者,Webフォーム
